"","date","type","code","mid"
"225","2013/4/1","index","USDX",82.73
"226","2013/4/2","index","USDX",82.89
"227","2013/4/3","index","USDX",82.76
"228","2013/4/8","index","USDX",82.71
"229","2013/4/9","index","USDX",82.39
"230","2013/4/10","index","USDX",82.49
"231","2013/4/11","index","USDX",82.25
"232","2013/4/12","index","USDX",82.1
"233","2013/4/15","index","USDX",82.3
"234","2013/4/16","index","USDX",81.83
"235","2013/4/17","index","USDX",82.65
"236","2013/4/18","index","USDX",82.56
"237","2013/4/19","index","USDX",82.75
"238","2013/4/22","index","USDX",82.65
"239","2013/4/23","index","USDX",83
"240","2013/4/24","index","USDX",82.95
"241","2013/4/25","index","USDX",82.78
"242","2013/4/26","index","USDX",82.49
"243","2013/5/2","index","USDX",82.23
"244","2013/5/3","index","USDX",82.08
"245","2013/5/6","index","USDX",82.33
"246","2013/5/7","index","USDX",82.28
"247","2013/5/8","index","USDX",81.9
"248","2013/5/9","index","USDX",82.68
"249","2013/5/10","index","USDX",83.1
"250","2013/5/13","index","USDX",83.2
"251","2013/5/14","index","USDX",83.62
"252","2013/5/15","index","USDX",83.79
"253","2013/5/16","index","USDX",83.74
"254","2013/5/17","index","USDX",84.21
"255","2013/5/20","index","USDX",83.82
"256","2013/5/21","index","USDX",83.84
"257","2013/5/22","index","USDX",84.29
"258","2013/5/23","index","USDX",83.75
"259","2013/5/24","index","USDX",83.65
"260","2013/5/27","index","USDX",83.64
"261","2013/5/28","index","USDX",84.26
"262","2013/5/29","index","USDX",83.62
"263","2013/5/30","index","USDX",83
"264","2013/5/31","index","USDX",83.27
"265","2013/6/3","index","USDX",82.67
"266","2013/6/4","index","USDX",82.75
"267","2013/6/5","index","USDX",82.56
"268","2013/6/6","index","USDX",81.62
"269","2013/6/7","index","USDX",81.69
"270","2013/6/13","index","USDX",80.7
"271","2013/6/14","index","USDX",80.61
"272","2013/6/17","index","USDX",80.65
"273","2013/6/18","index","USDX",80.67
"274","2013/6/19","index","USDX",81.31
"275","2013/6/20","index","USDX",81.77
"276","2013/6/21","index","USDX",82.41
"277","2013/6/24","index","USDX",82.44
"278","2013/6/25","index","USDX",82.61
"279","2013/6/26","index","USDX",82.95
"280","2013/6/27","index","USDX",82.96
"281","2013/6/28","index","USDX",83.18
"282","2013/7/1","index","USDX",83.02
"283","2013/7/2","index","USDX",83.53
"284","2013/7/3","index","USDX",83.21
"285","2013/7/4","index","USDX",83.77
"286","2013/7/5","index","USDX",84.44
"287","2013/7/8","index","USDX",84.22
"288","2013/7/9","index","USDX",84.6
"289","2013/7/10","index","USDX",83.25
"290","2013/7/11","index","USDX",82.74
"291","2013/7/12","index","USDX",82.93
"292","2013/7/15","index","USDX",83.08
"293","2013/7/16","index","USDX",82.5
"294","2013/7/17","index","USDX",82.65
"295","2013/7/18","index","USDX",82.78
"296","2013/7/19","index","USDX",82.61
"297","2013/7/22","index","USDX",82.23
"298","2013/7/23","index","USDX",82.01
"299","2013/7/24","index","USDX",82.27
"300","2013/7/25","index","USDX",81.79
"301","2013/7/26","index","USDX",81.65
"302","2013/7/29","index","USDX",81.71
"303","2013/7/30","index","USDX",81.84
"304","2013/7/31","index","USDX",81.67
"305","2013/8/1","index","USDX",82.36
"306","2013/8/2","index","USDX",81.92
"307","2013/8/5","index","USDX",81.84
"308","2013/8/6","index","USDX",81.62
"309","2013/8/7","index","USDX",81.27
"310","2013/8/8","index","USDX",81.02
"311","2013/8/9","index","USDX",81.12
"312","2013/8/12","index","USDX",81.45
"313","2013/8/13","index","USDX",81.77
"314","2013/8/14","index","USDX",81.71
"315","2013/8/15","index","USDX",81.14
"316","2013/8/16","index","USDX",81.29
"317","2013/8/19","index","USDX",81.27
"318","2013/8/20","index","USDX",80.94
"319","2013/8/21","index","USDX",81.32
"320","2013/8/22","index","USDX",81.49
"321","2013/8/23","index","USDX",81.36
"322","2013/8/26","index","USDX",81.39
"323","2013/8/27","index","USDX",81.14
"324","2013/8/28","index","USDX",81.43
"325","2013/8/29","index","USDX",81.97
"326","2013/8/30","index","USDX",82.04
"327","2013/9/2","index","USDX",82.24
"328","2013/9/3","index","USDX",82.39
"329","2013/9/4","index","USDX",82.18
"330","2013/9/5","index","USDX",82.64
"331","2013/9/6","index","USDX",82.15
"332","2013/9/9","index","USDX",81.83
"333","2013/9/10","index","USDX",81.83
"334","2013/9/11","index","USDX",81.51
"335","2013/9/12","index","USDX",81.51
"336","2013/9/13","index","USDX",81.52
"337","2013/9/16","index","USDX",81.27
"338","2013/9/17","index","USDX",81.14
"339","2013/9/18","index","USDX",80.23
"340","2013/9/23","index","USDX",80.46
"341","2013/9/24","index","USDX",80.59
"342","2013/9/25","index","USDX",80.34
"343","2013/9/26","index","USDX",80.54
"344","2013/9/27","index","USDX",80.27
"345","2013/9/30","index","USDX",80.23
"346","2013/10/8","index","USDX",80.01
"347","2013/10/9","index","USDX",80.37
"348","2013/10/10","index","USDX",80.48
"349","2013/10/11","index","USDX",80.42
"350","2013/10/14","index","USDX",80.34
"351","2013/10/15","index","USDX",80.44
"352","2013/10/16","index","USDX",80.46
"353","2013/10/17","index","USDX",79.66
"354","2013/10/18","index","USDX",79.61
"355","2013/10/21","index","USDX",79.7
"356","2013/10/22","index","USDX",79.26
"357","2013/10/23","index","USDX",79.28
"358","2013/10/24","index","USDX",79.19
"359","2013/10/25","index","USDX",79.21
"360","2013/10/28","index","USDX",79.33
"361","2013/10/29","index","USDX",79.62
"362","2013/10/30","index","USDX",79.7
"363","2013/10/31","index","USDX",80.23
"364","2013/11/1","index","USDX",80.72
"365","2013/11/4","index","USDX",80.57
"366","2013/11/5","index","USDX",80.7
"367","2013/11/6","index","USDX",80.51
"368","2013/11/7","index","USDX",80.83
"369","2013/11/8","index","USDX",81.22
"370","2013/11/11","index","USDX",81.09
"371","2013/11/12","index","USDX",81.15
"372","2013/11/13","index","USDX",80.78
"373","2013/11/14","index","USDX",80.99
"374","2013/11/15","index","USDX",80.81
"375","2013/11/18","index","USDX",80.73
"376","2013/11/19","index","USDX",80.66
"377","2013/11/20","index","USDX",81
"378","2013/11/21","index","USDX",80.98
"379","2013/11/22","index","USDX",80.66
"380","2013/11/25","index","USDX",80.91
"381","2013/11/26","index","USDX",80.62
"382","2013/11/27","index","USDX",80.7
"383","2013/11/28","index","USDX",80.55
"384","2013/11/29","index","USDX",80.62
"385","2013/12/2","index","USDX",80.9
"386","2013/12/3","index","USDX",80.64
"387","2013/12/4","index","USDX",80.61
"388","2013/12/5","index","USDX",80.29
"389","2013/12/6","index","USDX",80.26
"390","2013/12/9","index","USDX",80.13
"391","2013/12/10","index","USDX",79.98
"392","2013/12/11","index","USDX",79.88
"393","2013/12/12","index","USDX",80.18
"394","2013/12/13","index","USDX",80.19
"395","2013/12/16","index","USDX",80.09
"396","2013/12/17","index","USDX",80.05
"397","2013/12/18","index","USDX",80.51
"398","2013/12/19","index","USDX",80.6
"399","2013/12/20","index","USDX",80.55
"400","2013/12/23","index","USDX",80.43
"401","2013/12/24","index","USDX",80.52
"402","2013/12/25","index","USDX",80.53
"403","2013/12/26","index","USDX",80.5
"404","2013/12/27","index","USDX",80.33
"405","2013/12/30","index","USDX",80.04
"406","2013/12/31","index","USDX",80.2
"407","2014/1/2","index","USDX",80.57
